Applicant (student) Username,Applications ID,Employer Industry Name,Postings Apply Start Date,Postings Expiration Date Date,Student Educations Cumulative Gpa
aperez12,531061,Telecommunications,,2016-01-01,3.02
awolkoff,1062044,Design,,2016-06-01,3.22
axu4,13189969,Civil Engineering,,2018-06-08,2.91
ahosain,399962,Manufacturing - Other,,2015-11-08,3.72
mmurali,24412611,Aerospace,,2019-03-31,3.58
gzheng4,15085698,Investment Banking,,2018-08-12,3.59
gzheng4,15035719,Investment Banking,,2018-08-12,3.59
sbensons,17818426,Higher Education,,2018-10-01,3.15
sschober,301509,Accounting,,2015-10-15,3.77
yliu138,411626,Higher Education,,2015-11-11,3.7
jerichso,3849102,Higher Education,,2017-02-22,3.98
amai2,42005,Accounting,,2015-08-30,3.77
amai2,96691,Internet & Software,,2015-09-20,3.77
amai2,96698,Transportation & Logistics,,2015-09-20,3.77
amai2,508547,Internet & Software,,2016-06-30,3.77
amai2,96686,Architecture and Planning,,2015-09-20,3.77
amai2,1886159,"Movies, TV, Music",,2016-10-02,3.77
aliving2,1230733,Electronic & Computer Hardware,,2016-09-18,
fallayev,7951268,Non-Profit - Other,,2017-10-27,3.2
kscinto,12076105,Investment / Portfolio Management,,2018-03-21,3.2
alevy18,19961122,CPG - Consumer Packaged Goods,,2018-11-26,3.9
yliu138,15112738,Higher Education,,2018-08-12,3.7
ukoren,21783190,Commercial Banking & Credit,,2019-01-10,3.8
ukoren,21803456,Commercial Banking & Credit,,2019-01-10,3.8
rllerena,6812489,Investment Banking,,2017-10-01,3.08
epolloc2,371188,Investment / Portfolio Management,,2015-11-01,3.04
ssalen2,863370,Investment / Portfolio Management,,2016-05-07,
ssalen2,486085,"Advertising, PR & Marketing",,2015-11-30,
ssalen2,296623,Accounting,,2015-10-15,
ssalen2,2171192,"Advertising, PR & Marketing",,2016-10-02,
ssalen2,863384,"Journalism, Media & Publishing",,2016-04-05,
jmao6,3798621,Internet & Software,,2017-02-28,3.74
hasaga,541352,Higher Education,,2016-02-15,2.99
tyu17,26139033,Management Consulting,,2019-03-31,3.85
alin15,413920,Medical Devices,,2015-11-11,3.08
ypan16,724512,Accounting,,2016-02-09,3.52
ypan16,469745,Politics,,2015-11-30,3.52
chwang11,887259,Healthcare,,2017-03-31,3.8
vmehta5,362616,Management Consulting,,2015-11-01,3.7
ocohen2,1662177,Higher Education,,2016-09-22,3.65
dorenste,3492251,Real Estate,,2018-11-30,3.63
dorenste,2899573,Management Consulting,,2016-11-28,3.63
bfair2,25255551,Transportation & Logistics,,2019-03-31,3.6
oisley,4720563,Legal & Law Enforcement,,2017-06-23,1.98
vezenwa,99172,Internet & Software,,2015-09-20,3.12
scorcora,1915808,Higher Education,,2016-09-22,3.18
alin15,413908,Higher Education,,2016-01-04,3.08
alin16,24880266,Management Consulting,,2019-03-14,2.97
nchait,9362464,,,,3.21
szhang27,658829,Management Consulting,,2016-01-31,3.09
gnarlock,251518,Healthcare,,2015-10-08,
efeirouz,17824908,Management Consulting,,2018-10-12,3.84
mgreico,2395110,Utilities and Renewable Energy,,2016-10-13,2.71
azulkarn,74741,"Advertising, PR & Marketing",,2015-09-24,3.57
ctan8,858978,Investment / Portfolio Management,,2016-04-08,3.68
rmbaye,701377,Healthcare,,2016-02-08,3.41
bchen20,12808408,Food & Beverage,,2018-04-11,2.71
ykang19,20117287,Higher Education,,2018-11-16,3.49
alin15,3937687,Retail Stores,,2017-03-03,3.08
yding19,12221988,Investment / Portfolio Management,,2018-03-21,2.93
nkasarla,11359252,Healthcare,,2018-03-01,3.46
yli136,848786,Insurance,,2016-03-13,3.71
cwang84,17328705,Internet & Software,,2018-09-25,3.81
cwrig21,917566,,,2016-03-27,2.92
vagarwa2,16838620,Higher Education,,2018-09-16,3.4
fwu12,11759064,Internet & Software,,2018-03-15,3.4
hmiddles,660355,Pharmaceuticals,,2016-02-23,3.57
yli131,439065,Internet & Software,,2016-01-16,
gbiggie,1019672,Defense,,2016-05-01,3.45
zyou5,20133993,Higher Education,,2018-11-16,3.56
pmart18,753073,Real Estate,,2016-03-28,3.3
hjurman,11329867,,,2018-03-02,2.84
jzhang89,5296129,Higher Education,,2017-08-14,3.84
gchen20,4884609,Investment Banking,,2017-06-11,3.7
hmohame4,24620134,Aerospace,,2019-03-03,3.35
llei5,8771534,Management Consulting,,2017-11-08,3.95
yli131,782272,Human Resources,,2016-03-05,
szhang27,479135,Management Consulting,,2015-12-15,3.09
mgulbay,21334010,Sports & Leisure,,2018-12-31,
sgrewal,907597,,,2016-05-21,3.33
yshen28,14311974,Higher Education,,2018-09-09,3.56
hxia2,20643717,Non-Profit - Other,,2018-12-14,3.87
sdas13,486958,Insurance,,2015-11-30,3.97
yli157,14241459,Investment Banking,,2018-06-20,3.95
mngai2,20468039,Healthcare,,2018-12-28,3.74
hpark43,1910075,Higher Education,,2016-09-22,3.76
gvander2,58178,Investment / Portfolio Management,,2015-08-30,3.7
rgadde,3970940,"Advertising, PR & Marketing",,2017-02-27,3.37
jmagloi2,409361,Wholesale Trade,,2015-12-13,2.86
jmagloi2,326012,Manufacturing - Other,,2015-11-08,2.86
jmagloi2,953095,Electronic & Computer Hardware,,2016-04-18,2.86
jeby,6241060,Investment / Portfolio Management,,2017-10-01,3.62
lpage2,20297271,CPG - Consumer Packaged Goods,,2018-11-26,3.25
dle5,11462878,,,2018-03-02,3.23
dle5,16300402,Higher Education,,2018-09-09,3.23
jzhou41,3544372,Internet & Software,,2017-02-28,3.7
aschwa23,3240993,,,,2.66
sluechee,23146513,Non-Profit - Other,,2019-02-10,3.18
oostrike,5196804,Higher Education,,2017-08-14,3.54
dmatthe4,5318543,Investment / Portfolio Management,,2019-08-31,2.97
msabati2,25258058,Higher Education,,2019-03-13,2.74
yshen28,12166983,Investment / Portfolio Management,,2018-03-21,3.56
dwhite39,7980053,Aerospace,,2017-10-17,2.75
mdietz2,9461720,"Advertising, PR & Marketing",,,3.86
slevy10,4675196,Manufacturing - Other,,2017-06-30,3.79
yli131,98025,Internet & Software,,2015-09-20,
yli131,441160,Investment Banking,,2015-11-30,
yli131,931569,Internet & Software,,2016-04-23,
yli131,974436,Human Resources,,2016-06-11,
pmcconeg,465957,Insurance,,2015-11-30,3.85
cholzeme,17936074,Higher Education,,2018-10-01,3.2
zjames,11641858,Higher Education,,2018-03-30,2.63
wkozar,11534086,Investment / Portfolio Management,,2018-03-09,3.29
kzhu6,19859639,CPG - Consumer Packaged Goods,,2018-11-26,4
tchen44,16777819,Higher Education,,2018-10-01,2.4
dpu,22017545,Investment / Portfolio Management,,2019-03-10,3.47
jmao6,540091,Management Consulting,,2016-01-15,3.74
slevy10,5147934,Higher Education,,2017-08-14,3.79
mkawaba2,16772024,Investment Banking,,2018-10-05,3.7
acortes2,16251998,Higher Education,,2018-09-09,3.29
swalter3,17546155,Higher Education,,2018-10-01,
koh4,18521417,Investment Banking,,2018-12-02,3.6
scorcora,867115,Insurance,,2016-03-13,3.18
xzh116,24417119,Internet & Software,,2019-03-29,3.7
bwang40,24237819,Aerospace,,2019-03-31,3.2
ibaldie,11600089,Healthcare,,2018-02-26,3.62
mhillglo,9440641,Human Resources,,2017-12-20,2.18
yzhao72,20384507,CPG - Consumer Packaged Goods,,2018-11-26,3.79
bwang28,3684854,Internet & Software,,2017-02-08,3.6
bcrouse,2054923,Investment / Portfolio Management,,2016-10-09,3.35
bcrouse,706730,Other Industries,,2016-03-27,3.35
amai2,8371801,Internet & Software,,2017-11-30,3.77
amai2,96680,Internet & Software,,2015-09-20,3.77
aliving2,896106,Healthcare,,2016-04-19,
mkarafan,12735214,Insurance,,2018-04-06,3.42
tkhan6,1134665,K-12 Education,,2016-08-01,3.72
ssalen2,472789,Management Consulting,,2015-11-30,
awolkoff,1062024,Research,,2016-05-31,3.22
ssalen2,1570386,Investment / Portfolio Management,,2017-07-31,
bwang28,15959446,Other Industries,,2018-09-13,3.6
ahoque2,807837,Non-Profit - Other,,2016-04-10,3.54
lfelemba,3659528,Human Resources,,2017-02-08,3.1
tmagee3,469698,Insurance,,2015-11-30,3.65
bgil2,12192578,Non-Profit - Other,,2018-03-19,3.57
sschaff2,12199021,Electronic & Computer Hardware,,2018-04-06,3.35
sschaff2,12743297,Food & Beverage,,2018-04-11,3.35
bneupane,19656140,Investment Banking,,2018-12-15,3.57
ssalen2,1633704,Investment Banking,,2016-09-13,
mguerrag,14170604,Investment Banking,,2018-09-02,3.51
klloyd,3569702,Higher Education,,,
mgrip2,12233825,Investment / Portfolio Management,,2018-03-21,3.26
mbodek,14911450,Higher Education,,2018-08-12,3.85
vtokarch,1088092,,,2016-06-16,3.83
ipekaric,872668,Electronic & Computer Hardware,,2016-03-13,2.64
nsardana,3596585,,,,3.67
yzh203,15799979,Investment Banking,,2018-09-09,3.66
oostrike,5312965,Higher Education,,2017-09-10,3.54
ikumar,7164161,Management Consulting,,2017-09-29,3.64
ikumar,7013132,Management Consulting,,2017-09-29,3.64
hwang71,26952925,Legal & Law Enforcement,,2019-04-30,3.67
zchen36,139567,Electronic & Computer Hardware,,2015-09-20,3.76
jgherard,7976673,Internet & Software,,2017-10-31,3.49
jgarner2,1105254,Politics,,2016-07-30,1.9
ssachde2,440808,Higher Education,,2015-11-11,3.91
mvarano,24745937,Biotech & Life Sciences,,2019-04-04,3.74
vtokarch,1088082,Medical Devices,,2016-07-22,3.83
hcardena,126173,Internet & Software,,2015-09-20,3.15
lludford,906498,Investment Banking,,2016-04-30,3.43
bcrouse,329435,Insurance,,2015-10-25,3.35
cstone9,16989899,Higher Education,,2018-10-01,3.51
salepa,5130226,Higher Education,,2017-09-10,3.33
jyoung32,24657896,Investment Banking,,2019-03-05,3.96
cvanhube,2092177,Management Consulting,,2016-10-01,3.6
amackey,708132,Electronic & Computer Hardware,,2016-03-18,3.59
challaga,2921641,"Advertising, PR & Marketing",,2016-11-28,3.22
wschmid3,593299,Oil & Gas,,2016-01-21,2.86
clionhe,13808361,Investment / Portfolio Management,,2018-07-05,2.65
pchiu4,3509922,Investment Banking,,2017-02-12,3.82
jrubio,20950017,Investment Banking,,2019-01-02,3.23
cwu59,19933013,CPG - Consumer Packaged Goods,,2018-11-26,3.9
ofajobi,25437622,"Government - Local, State & Federal",,2019-04-01,2.4
akhadilk,13190281,Civil Engineering,,2018-06-08,3.93
lgerstn3,19968379,CPG - Consumer Packaged Goods,,2018-11-26,3.75
ydu17,25428614,Higher Education,,2019-03-17,3.32
tbazant,16251071,Higher Education,,2018-09-09,3.63
jmill98,3962766,Non-Profit - Other,,2017-03-03,3.16
bpatel18,12755582,Manufacturing - Other,,2018-04-12,
zyan5,8598034,Fashion,,2017-11-06,3.63
yhe29,6099518,Internet & Software,,2017-09-22,3.96
tliu23,368829,Management Consulting,,2015-11-01,3.73
sgrewal,2923114,Internet & Software,,2016-11-28,3.33
hasaga,466823,Higher Education,,2016-01-04,2.99
sbajwa,3581861,Investment / Portfolio Management,,2017-04-14,2.82
yding19,19860082,Higher Education,,2018-11-19,2.93
alin15,538202,Food & Beverage,,2016-02-12,3.08
xle2,16544270,Higher Education,,2018-09-14,3.15
lzhang69,15082637,Higher Education,,2018-08-12,3.99
vmehta5,1877833,Higher Education,,2016-09-22,3.7
xding12,14782495,Higher Education,,2018-08-12,3.95
dorenste,2899572,Management Consulting,,2016-11-28,3.63
dorenste,2899545,Research,,2016-11-28,3.63
afernan8,5371050,Higher Education,,2017-08-14,3.62
lluo4,26904483,Investment Banking,,2019-04-21,3.8
mali7,649955,Electronic & Computer Hardware,,2016-03-20,3.6
epadron,927876,Non-Profit - Other,,2016-04-15,3.96
afernan8,368840,Investment Banking,,2015-11-01,3.62
afernan8,5371057,Higher Education,,2017-08-14,3.62
afernan8,5371044,Higher Education,,2017-08-14,3.62
hzhao17,4157723,Human Resources,,2017-03-23,3.93
aclarkse,16114390,Internet & Software,,2018-09-17,
bmbanya,15148534,Higher Education,,2018-09-09,3.7
nmccloud,19211823,Electronic & Computer Hardware,,2018-11-05,3.31
cfann,10228141,Internet & Software,,2018-02-09,3.6
eding2,3888086,Higher Education,,2017-02-22,3.38
jsacks3,18050311,Higher Education,,2018-10-01,3.93
bnussbau,18061169,Higher Education,,2018-10-01,3.87
jtobias3,488920,,,2015-12-06,3.18
jkolodn2,8008223,Internet & Software,,2017-11-08,
dschild3,25169161,Higher Education,,2019-03-13,3.36
yzh168,24311695,Transportation & Logistics,,2019-03-31,3.62
esambran,11768468,Healthcare,,2018-03-23,3.07
yliu142,16300890,Higher Education,,2018-09-09,3.91
lchen34,462320,Medical Devices,,2015-11-30,2.76
lyoung12,25020157,Higher Education,,2019-03-13,3.86
sdas13,828254,Internet & Software,,2016-04-22,3.97
hzhao17,4179193,Medical Devices,,2017-04-02,3.93
sgrewal,2908131,Retail Stores,,2016-11-28,3.33
vezenwa,396394,Internet & Software,,2015-11-28,3.12
sbajwa,13990872,Investment / Portfolio Management,,2018-07-05,2.82
alin15,670685,Healthcare,,2016-02-07,3.08
ypan16,469808,Human Resources,,2015-11-30,3.52
alin15,538197,Manufacturing - Other,,2016-01-29,3.08
yshi27,21209801,Investment Banking,,2019-01-02,3.9
smlawer,495372,,,,3.65
smlawer,363463,Other Industries,,2015-11-01,3.65
smlawer,279819,Insurance,,2015-10-25,3.65
smlawer,368297,Investment Banking,,2015-11-01,3.65
akurtz9,16516092,Higher Education,,2018-10-01,2.89
ksporn,27046286,Higher Education,,2019-04-18,3.55
ctan8,859101,Non-Profit - Other,,2016-04-10,3.68
cstanger,12093992,Investment / Portfolio Management,,2018-03-21,3.35
eradford,470059,International Affairs,,2015-11-30,3.93
dpan6,887839,Internet & Software,,2016-04-17,3.91
dpan6,874443,,,2016-03-27,3.91
sconte2,19857715,CPG - Consumer Packaged Goods,,2018-11-26,3.38
vagarwa2,24298722,Tourism,,2019-02-27,3.4
szhang27,479206,Human Resources,,2016-01-09,3.09
szhang27,497522,Human Resources,,2016-01-08,3.09
yliu139,12263278,Investment Banking,,2018-04-09,3.99
dlevin4,15854569,Higher Education,,2018-09-09,3.98
lchen34,524498,Manufacturing - Other,,2016-01-05,2.76
tsingh8,13152285,Investment Banking,,2018-09-02,3.62
tliu23,484061,Higher Education,,2016-01-04,3.73
lchen34,372166,Manufacturing - Other,,2015-11-08,2.76
cwu59,13746793,Investment / Portfolio Management,,2018-07-05,3.9
cwu59,16266124,Higher Education,,2018-09-09,3.9
ckong2,927739,Electronic & Computer Hardware,,2016-05-21,2.83
bzhang25,20424578,Investment Banking,,2018-11-28,3.9
vliverpo,20932448,Investment Banking,,2019-01-02,3
ydu17,18504262,Investment / Portfolio Management,,2020-09-03,3.32
ydu17,5370776,Higher Education,,2017-08-14,3.32
abhairo,16146971,Higher Education,,2018-09-09,3.85
tfung3,11793824,Internet & Software,,2018-04-06,3.84
wkong,279774,Higher Education,,2015-10-11,3.31
mkim94,363514,Investment / Portfolio Management,,2015-12-28,3.26
ngiggey,946389,Healthcare,,2016-04-09,3.21
yli131,192241,Internet & Software,,2015-09-20,
yli131,455682,Higher Education,,2016-01-04,
yli131,1065657,Management Consulting,,2016-07-03,
yli131,875600,Internet & Software,,2016-05-01,
pmcconeg,58039,Investment Banking,,2015-08-30,3.85
akhosla,976683,Manufacturing - Other,,2016-05-22,3.66
jbill3,5159304,Internet & Software,,2017-08-22,3.36
jadams33,3596537,,,,
zye15,25642983,Management Consulting,,2019-04-12,3.9
sbyron,18019670,Higher Education,,2018-10-01,3.4
tyang21,19715340,Electronic & Computer Hardware,,2018-11-05,3.7
mmasood2,22695338,,,2019-02-01,3.61
cwang82,21221742,Investment / Portfolio Management,,2018-12-26,3.94
zspoor,26205812,Investment / Portfolio Management,,2019-04-01,3.33
rmcnabb,22923100,Insurance,,2019-01-31,2.85
npines,25216352,Higher Education,,2019-03-13,3.28
ekayton,19561891,Electronic & Computer Hardware,,2018-11-05,3.56
mmasood2,22434016,Healthcare,,2019-02-01,3.61
zli94,23206797,International Affairs,,2019-02-12,3.7
jrutled3,25224303,Higher Education,,2019-03-13,2.72
yliu140,11799254,,,2018-03-02,3.75
hsun28,22323058,Management Consulting,,2019-03-31,3.78
tnoordsi,20071358,CPG - Consumer Packaged Goods,,2018-11-26,3.64
txu12,17917775,Higher Education,,2018-10-01,3.99
prono,12210038,Non-Profit - Other,,2018-03-19,2.76
jzhao28,18008754,Higher Education,,2018-10-01,3.02
rritterm,11302082,Healthcare,,2018-05-15,3.19
achung13,13890048,Investment / Portfolio Management,,2018-07-05,3.17
span11,20572622,Investment Banking,,2018-12-15,3.55
akhadilk,6018996,Higher Education,,2017-09-10,3.93
ychen235,22196035,Healthcare,,2019-02-01,3.13
tliu23,459797,Internet & Software,,2015-11-30,3.73
aisafiad,19691317,CPG - Consumer Packaged Goods,,2018-11-26,3.06
ecamach3,1111780,Internet & Software,,2016-08-02,2.8
ntsikari,25232402,Manufacturing - Other,,2019-03-29,3.01
flamudi,16681311,Higher Education,,2018-09-16,3.42
blarowe,24226460,Higher Education,,2019-03-13,2.48
slevy10,4240020,"Government - Local, State & Federal",,2017-05-09,3.79
fsani,16689884,Higher Education,,2018-09-16,3.46
yli157,16239264,Higher Education,,2018-09-09,3.95
jpolimen,20394147,CPG - Consumer Packaged Goods,,2018-11-26,2.9
jkolodn2,8007585,Fashion,,2017-11-06,
jliu100,10282131,Internet & Software,,2018-01-22,3.5
bwang40,19298357,Electronic & Computer Hardware,,2018-11-05,3.2
mwang54,16240308,Higher Education,,2018-09-09,3.86
tkaizer,11990624,Electronic & Computer Hardware,,2018-04-06,3.26
yliu157,20361069,CPG - Consumer Packaged Goods,,2018-11-26,3.61
agarci11,17667032,Higher Education,,2018-10-01,3.78
djohns65,20136758,Higher Education,,2018-11-16,3.9
ddang2,24645388,Healthcare,,2019-02-28,3.89
ddang2,24645393,Real Estate,,2019-02-28,3.89
spaine3,24360559,Higher Education,,2019-03-13,
shogan6,25634062,Investment / Portfolio Management,,2019-04-01,3.56
jsun36,22192039,Insurance,,2019-01-31,3.27
psteven5,13817870,Electronic & Computer Hardware,,2018-05-30,2.53
ntsikari,22545960,Aerospace,,2019-03-03,3.01
aendres,55424,Accounting,,2015-08-30,3.41
mholm15,15916201,Higher Education,,2018-09-09,3.14
amercha6,370634,,,2015-11-01,3.45
bli23,144900,Internet & Software,,2015-09-20,
lfei2,2155564,Internet & Software,,2016-10-02,3.26
jscardin,885314,Other Industries,,2016-04-30,3.54
dlaraagu,5371744,Higher Education,,2017-09-10,3.93
kferrei3,13809211,Investment / Portfolio Management,,2018-07-05,3.46
rkaplan6,6403153,Management Consulting,,2017-09-29,3.23
ehancock,12302957,Insurance,,2018-04-06,3.31
mdietz2,9461721,"Advertising, PR & Marketing",,,3.86
chwang11,1034594,Real Estate,,2016-07-02,3.8
lluo4,22559703,Manufacturing - Other,,2019-02-28,3.8
cdurham,947688,Healthcare,,2016-04-22,
smlawer,261857,Accounting,,2015-10-15,3.65
smlawer,261856,Accounting,,2015-10-15,3.65
pfilippo,16293170,Higher Education,,2018-09-09,3.48
nphan4,20455796,Investment Banking,,2018-11-28,3.88
nphan4,26542438,Investment Banking,,2019-04-10,3.88
yli155,10971859,Wholesale Trade,,2018-02-23,3.27
lbashfor,19719678,Electronic & Computer Hardware,,2018-11-05,3.82
bayachi,369489,Management Consulting,,2015-11-01,3.87
hchen64,4213172,,,2017-05-07,3.59
jsmall4,2914400,CPG - Consumer Packaged Goods,,2016-11-28,3.24
jsmall4,2914360,Healthcare,,2016-11-28,3.24
hzhang95,24803052,Internet & Software,,2019-03-17,3.93
mmackmer,20165,Non-Profit - Other,,2015-08-10,3
hahmed5,20145824,Higher Education,,2018-11-16,3.43
yli158,11444088,,,2018-03-02,4
yli157,6057558,Investment Banking,,2017-09-15,3.95
yli157,12774389,Investment Banking,,2018-04-15,3.95
jpolimen,13745838,Investment / Portfolio Management,,2018-07-05,2.9
slu24,16287664,Higher Education,,2018-09-09,2.83
mpan7,24127747,Tourism,,2019-02-27,3.56
asanusi,20427420,Investment Banking,,2018-11-28,3.63
tbazant,16251068,Higher Education,,2018-09-09,3.63
tbazant,16251083,Higher Education,,2018-09-09,3.63
mteng3,3815216,Investment / Portfolio Management,,2017-02-28,3.68
jmulliga,19752552,Management Consulting,,2019-03-31,3.11
jmulliga,16254552,Higher Education,,2018-09-09,3.11
sdas13,448546,Electronic & Computer Hardware,,2015-11-29,3.97
istathak,20146165,Higher Education,,2018-11-16,3.38
rpage4,7221743,Investment Banking,,2017-10-01,3.56
rpage4,3669516,Investment Banking,,2017-02-12,3.56
rpage4,13052924,Investment Banking,,2018-04-18,3.56
jluo12,1026919,Design,,2016-06-01,3.87
yliao14,16245411,Higher Education,,2018-09-09,2.98
yliao14,16203723,Higher Education,,2018-09-09,2.98
cdurham,1052299,Internet & Software,,2016-06-07,
ysabo,834444,Accounting,,2016-03-01,2.8
mguerrag,16253992,Higher Education,,2018-09-09,3.51
xxie10,341658,Management Consulting,,2015-11-01,3.61
sfang12,13817759,Electronic & Computer Hardware,,2018-05-30,3.69
yliang26,18461200,Civil Engineering,,2018-10-17,3.85
rgupta21,19927216,CPG - Consumer Packaged Goods,,2018-11-26,3.7
gfrankle,2903792,Other Industries,,2016-12-31,3.45
rfabio,474827,Internet & Software,,2015-11-30,3.44
mnauman,17912617,Investment Banking,,2018-10-05,3.9
nnyarkoa,20923185,Investment Banking,,2019-01-02,3.85
lluo4,20529931,Manufacturing - Other,,2018-12-07,3.8
dbamfo,14781282,Higher Education,,2018-08-12,3.57
clim4,4197487,,,2017-05-07,3.97
jhan47,1070641,,,2016-06-16,3.95
klee99,26549006,Investment Banking,,2019-04-10,3.39
abowes,10976334,Wholesale Trade,,2018-02-23,3.47
pfilippo,11800417,,,2018-03-02,3.48
mali7,742340,Internet & Software,,2016-02-26,3.6
taktas,11887189,Internet & Software,,2018-03-12,3.51
bfu6,24635949,Pharmaceuticals,,2019-03-07,3.69
sroy8,19334661,Electronic & Computer Hardware,,2018-11-05,3.89
nlong3,11716337,Internet & Software,,2018-04-06,3.21
bregan3,11957801,Investment Banking,,2018-03-30,3.13
jhe18,3127306,Investment / Portfolio Management,,2016-12-31,3.43
pvatsa2,16694577,Higher Education,,2018-09-14,2.96
sqefalia,11797079,,,2018-03-02,
gfrankle,471790,Higher Education,,2016-01-04,3.45
sruffner,867338,Internet & Software,,2016-04-22,3.71
jhan38,828180,,,,3.54
cwhitta3,16195222,Higher Education,,2018-09-09,3.84
aali5,13439340,Higher Education,,2018-05-31,3.8
ttan6,12615919,Higher Education,,2018-03-30,3.21
tvasu,15866747,Higher Education,,2018-09-09,3.61
span11,12623376,Investment Banking,,2018-09-02,3.55
ckong2,34872,Insurance,,2015-08-30,2.83
yaraki,17584574,Internet & Software,,2018-09-25,3.42
jherna17,4417641,Research,,2017-05-26,2.64
pvatsa2,25748889,Biotech & Life Sciences,,2019-04-04,2.96
xxiao6,13841389,Electronic & Computer Hardware,,2018-05-30,
lchen34,462327,Internet & Software,,2015-11-30,2.76
lchen34,663514,Manufacturing - Other,,2016-03-27,2.76
zzhou39,22150451,Investment / Portfolio Management,,2019-03-10,3.57
tkhire,13902435,Biotech & Life Sciences,,2018-05-31,
klloyd,3569703,Higher Education,,,
xxie10,910520,Electronic & Computer Hardware,,2016-05-21,3.61
pwright4,14663275,Investment Banking,,2018-09-02,3.32
jshanah3,5182037,Higher Education,,2017-08-14,3.49
nzhang15,1891869,Investment / Portfolio Management,,2016-10-19,4
yyang105,10925887,,,2018-03-02,3.69
ipekaric,872673,Electronic & Computer Hardware,,2016-03-13,2.64
sspahija,930147,,,2016-05-29,3.61
jsheng5,462760,"Journalism, Media & Publishing",,2015-11-30,3.76
jsheng5,470886,"Advertising, PR & Marketing",,2015-11-30,3.76
msingh20,4356806,Research,,2017-05-26,3.9
xli93,12746958,Food & Beverage,,2018-04-11,3.89
lkaze,472480,Healthcare,,2015-11-30,3.59
azaman2,13805320,Investment / Portfolio Management,,2018-07-05,3.8
cemmel,19340180,Electronic & Computer Hardware,,2018-11-05,3.29
emill28,5204739,Higher Education,,2017-08-14,3.77
ckim48,3800096,Internet & Software,,2017-03-27,3.03
bzhou10,16690485,Higher Education,,2018-09-14,4
ipekaric,872700,Electronic & Computer Hardware,,2016-03-13,2.64
nmuralid,440789,Higher Education,,2015-11-11,3.31
gharr12,5366825,Investment / Portfolio Management,,2020-09-03,3.76
kbopp2,486879,Investment / Portfolio Management,,2015-11-30,3.3
kbopp2,852280,Management Consulting,,2016-04-10,3.3
mboddewy,19324308,Electronic & Computer Hardware,,2018-11-05,3.54
ckim48,8732461,Fashion,,2017-11-06,3.03
dharasim,14428173,Investment / Portfolio Management,,2018-07-05,3.89
rshechte,7236341,Higher Education,,2017-09-29,3.97
lludford,880684,Manufacturing - Other,,2016-03-28,3.43
jschechn,2901661,CPG - Consumer Packaged Goods,,2016-11-28,3.34
afan6,3495041,Internet & Software,,2017-03-31,3.75
ctsao2,13268370,Electronic & Computer Hardware,,2018-05-22,
ohochste,20815452,Manufacturing - Other,,2018-12-14,3.13
mmanchen,7987613,Internet & Software,,2017-10-31,2.86
jtraver4,8735782,Utilities and Renewable Energy,,2017-11-06,3.29
yshan3,7057677,Management Consulting,,2017-09-29,3.37
bspiegel,2907383,Healthcare,,2016-11-28,3.41
jmorg17,3805064,Investment / Portfolio Management,,2017-02-22,3.43
hwu36,16683485,Higher Education,,2018-09-16,3.89
lzickar,285054,Accounting,,2015-10-15,3.56
lfelemba,4339318,Environmental Services,,2017-05-28,3.1
srahman7,371448,,,2015-11-01,3.88
yxu55,58455,Accounting,,2015-08-30,3.86
wlong3,12011782,Commercial Banking & Credit,,2018-03-15,3.7
sspahija,930152,Investment / Portfolio Management,,2016-05-29,3.61
rharr21,11801569,,,2018-03-02,3.03
sspahija,87489,Accounting,,2015-10-15,3.61
sspahija,87338,Investment Banking,,2015-09-13,3.61
abayoumy,24363964,Aerospace,,2019-03-31,3.73
aomar2,2903505,Insurance,,2016-12-30,3.37
dharasim,14428286,Investment / Portfolio Management,,2018-07-05,3.89
jpan11,3666704,Management Consulting,,2017-02-08,3.89
dbassi2,6020276,Higher Education,,2017-09-10,3.55
soluoch,945981,Higher Education,,2016-04-22,2.61
asingh36,4092976,,,2017-05-07,3.83
amai2,290582,Non-Profit - Other,,2016-03-31,3.77
vbela,12195883,Non-Profit - Other,,2018-03-19,3.09
yxi2,16294928,Higher Education,,2018-09-09,3.74
mmitrovs,12940946,Investment Banking,,2018-04-18,3.3
lmouli,15114235,Higher Education,,2018-08-12,3.79
hcardena,126272,Accounting,,2015-09-20,3.15
cchance2,13831626,Electronic & Computer Hardware,,2018-05-30,2.05
mfost18,15454881,Internet & Software,,2018-10-30,3.31
ajohns83,16301673,Higher Education,,2018-09-09,3.09
nmavreli,366611,Investment Banking,,2015-11-01,3.84
mlawrie,2869573,Higher Education,,2016-11-28,3.46
jguntur,3485816,Internet & Software,,2017-02-19,3.02
dkim79,233278,Insurance,,2015-10-25,3.91
amai2,435550,Internet & Software,,2015-11-29,3.77
lfei2,8197617,Performing and Fine Arts,,2017-10-23,3.26
ksmith74,463335,Environmental Services,,2015-11-30,3.98
bwang28,7847662,Human Resources,,2017-12-31,3.6
cfunai,501555,Internet & Software,,2016-01-29,3.5
amai2,586565,Electronic & Computer Hardware,,2016-03-08,3.77
bcrouse,167262,Higher Education,,2015-10-11,3.35
ktaneja,3794874,Investment / Portfolio Management,,2017-02-15,3.88
mhassan3,421253,Electronic & Computer Hardware,,2015-11-30,3.9
zli56,12233300,Investment / Portfolio Management,,2018-04-06,3.26
jguntur,399442,Higher Education,,2015-11-11,3.02
lkaze2,12068422,Investment / Portfolio Management,,2018-03-21,3.06
